A;MktCoupons;OriginAirportID;DestAirportID;DestAirportID;ID_C;MktFare
0;1;Banglore;New Delhi;New Delhi;4;3897
1;1;Kolkata;Banglore;Banglore;2;7662
2;1;Delhi;Cochin;Cochin;5;13882
3;1;Kolkata;Banglore;Banglore;4;6218
4;1;Banglore;New Delhi;New Delhi;4;13302
5;1;Kolkata;Banglore;Banglore;9;3873
6;1;Banglore;New Delhi;New Delhi;5;11087
7;1;Banglore;New Delhi;New Delhi;5;22270
8;1;Banglore;New Delhi;New Delhi;5;11087
9;1;Delhi;Cochin;Cochin;7;8625
10;1;Delhi;Cochin;Cochin;2;8907
11;1;Kolkata;Banglore;Banglore;4;4174
12;1;Chennai;Kolkata;Kolkata;2;4667
13;1;Kolkata;Banglore;Banglore;5;9663
14;1;Kolkata;Banglore;Banglore;4;4804
15;1;Delhi;Cochin;Cochin;2;14011
16;1;Delhi;Cochin;Cochin;9;5830
17;1;Delhi;Cochin;Cochin;5;10262
18;1;Delhi;Cochin;Cochin;2;13381
19;1;Delhi;Cochin;Cochin;5;12898
20;1;Delhi;Cochin;Cochin;3;19495
21;1;Banglore;New Delhi;New Delhi;2;6955
22;1;Banglore;Delhi;Delhi;4;3943
23;1;Banglore;Delhi;Delhi;4;4823
24;1;Kolkata;Banglore;Banglore;5;7757
25;1;Delhi;Cochin;Cochin;5;13292
26;1;Delhi;Cochin;Cochin;4;8238
27;1;Delhi;Cochin;Cochin;3;7682
28;1;Banglore;Delhi;Delhi;11;4668
29;1;Chennai;Kolkata;Kolkata;11;3687
30;1;Chennai;Kolkata;Kolkata;11;3687
31;1;Kolkata;Banglore;Banglore;2;13227
32;1;Banglore;Delhi;Delhi;4;4423
33;1;Delhi;Cochin;Cochin;5;10919
34;1;Delhi;Cochin;Cochin;5;12373
35;1;Delhi;Cochin;Cochin;4;5894
36;1;Kolkata;Banglore;Banglore;9;4649
37;1;Kolkata;Banglore;Banglore;2;6245
38;1;Banglore;New Delhi;New Delhi;5;19225
39;1;Delhi;Cochin;Cochin;5;14924
40;1;Delhi;Cochin;Cochin;7;9646
41;1;Banglore;New Delhi;New Delhi;2;8714
42;1;Delhi;Cochin;Cochin;5;12373
43;1;Banglore;Delhi;Delhi;1;3383
44;1;Delhi;Cochin;Cochin;7;13062
45;1;Banglore;New Delhi;New Delhi;9;3527
46;1;Banglore;Delhi;Delhi;4;3943
47;1;Chennai;Kolkata;Kolkata;2;4667
48;1;Kolkata;Banglore;Banglore;2;6117
49;1;Delhi;Cochin;Cochin;5;11150
50;1;Delhi;Cochin;Cochin;5;7202
51;1;Kolkata;Banglore;Banglore;5;12121
52;1;Banglore;New Delhi;New Delhi;4;4377
53;1;Banglore;Delhi;Delhi;4;3943
54;1;Banglore;Delhi;Delhi;1;4483
55;1;Kolkata;Banglore;Banglore;5;14231
